#        time                area                spin                 c_x                 c_y                 c_z
   11.8750000    1.3807048798e+01    8.9387444544e-02    1.2532585570e+02    1.2675636764e+02    1.2800000000e+02
   12.0000000    1.3805631344e+01    8.6949077569e-02    1.2533461414e+02    1.2674122417e+02    1.2800000000e+02
   12.1250000    1.3804591619e+01    8.4667716434e-02    1.2534356609e+02    1.2672647382e+02    1.2800000000e+02
   12.2500000    1.3803780975e+01    8.2788033204e-02    1.2535269142e+02    1.2671202196e+02    1.2800000000e+02
   12.3750000    1.3803392564e+01    8.1090576787e-02    1.2536197419e+02    1.2669769673e+02    1.2800000000e+02
   12.5000000    1.3802622595e+01    7.9333290165e-02    1.2537139046e+02    1.2668348518e+02    1.2800000000e+02
   12.6250000    1.3801496010e+01    7.7374514307e-02    1.2538091902e+02    1.2666940961e+02    1.2800000000e+02
   12.7500000    1.3800686788e+01    7.5246880882e-02    1.2539059971e+02    1.2665541304e+02    1.2800000000e+02
   12.8750000    1.3799835071e+01    7.3408780674e-02    1.2540044649e+02    1.2664146705e+02    1.2800000000e+02
   13.0000000    1.3798797539e+01    7.1835211042e-02    1.2541041623e+02    1.2662758598e+02    1.2800000000e+02
   13.1250000    1.3798192875e+01    7.0360058978e-02    1.2542049221e+02    1.2661376822e+02    1.2800000000e+02
   13.2500000    1.3797896509e+01    6.8893899530e-02    1.2543070144e+02    1.2659997088e+02    1.2800000000e+02
   13.3750000    1.3797413289e+01    6.7737153640e-02    1.2544105377e+02    1.2658620028e+02    1.2800000000e+02
   13.5000000    1.3796974922e+01    6.6883996789e-02    1.2545154658e+02    1.2657247731e+02    1.2800000000e+02
   13.6250000    1.3796498591e+01    6.5947080118e-02    1.2546215764e+02    1.2655879399e+02    1.2800000000e+02
   13.7500000    1.3796169900e+01    6.5171668640e-02    1.2547285214e+02    1.2654514723e+02    1.2800000000e+02
   13.8750000    1.3795758215e+01    6.4752806527e-02    1.2548360683e+02    1.2653151937e+02    1.2800000000e+02
   14.0000000    1.3795340964e+01    6.4833707566e-02    1.2549438779e+02    1.2651791889e+02    1.2800000000e+02
   14.1250000    1.3795523443e+01    6.5079251194e-02    1.2550518461e+02    1.2650434384e+02    1.2800000000e+02
   14.2500000    1.3794982534e+01    6.5107014340e-02    1.2551604876e+02    1.2649080416e+02    1.2800000000e+02
   14.3750000    1.3793913094e+01    6.5636291424e-02    1.2552704020e+02    1.2647735941e+02    1.2800000000e+02
   14.5000000    1.3794022202e+01    6.6903314104e-02    1.2553819200e+02    1.2646398685e+02    1.2800000000e+02
